Формулировка на естественном языке (русский),Формулировка на естественном языке (английский),Запись на формальном языке,Код Lean 4 + Mathlib,Ключевые слова (русский / английский),Тип утверждения,Источник
"Используя соотношение между нормированными алгебрами с делением и тройственностями, мы получаем изоморфизм h3(O) ∼= R3 ⊕V8 ⊕S+ 8 ⊕S− 8    α z∗y∗ z β x y x∗γ   7→ ((α, β, γ), x, y, z), (7) где α, β, γ ∈R и x, y, z ∈O. Исследование йорданова произведения в h3(O) тогда открывает удивительный факт: в то время как поверхностно это произведение определено с использованием структуры ∗-алгебры на O, оно на самом деле может быть определено с использованием только естественных отображений V8 × S+ 8 →S− 8 , V8 × S− 8 →S+ 8 , S+ 8 × S− 8 →V8 вместе со скалярными произведениями этих трёх пространств. Вся эта информация содержится в нормированной тройственности t8 : V8 × S+ 8 × S− 8 →R, так что любой автоморфизм этой тройственности даёт автоморфизм h3(O).","Используя соотношение между нормированными алгебрами с делением и тройственностями, мы получаем isomorphism h3(O) ∼= R3 ⊕V8 ⊕S+ 8 ⊕S− 8    α z∗y∗ z β x y x∗γ   7→ ((α, β, γ), x, y, z), (7) где α, β, γ ∈R и x, y, z ∈O. Исследование йорданова произведения в h3(O) тогда открывает удивительный факт: в then время как поверхностно это произведение определено с использованием структуры ∗-algebras на O, оно на самом деле может быть определено с использованием только естественных отображений V8 × S+ 8 →S− 8 , V8 × S− 8 →S+ 8 , S+ 8 × S− 8 →V8 вместе со скалярными произведениями этих трёх пространств. Вся эта информация содержится в нормированной тройственности t8 : V8 × S+ 8 × S− 8 →R, так что любой автоморфизм этой тройственности даёт автоморфизм h3(O).","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0024 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Поскольку каждая такая линия содержит единственный ненулевой элемент, можно также думать о плоскости Фано, как состоящей из семи ненулевых элементов Z3 2. Если начало координат в Z3 2 соответствует 1 ∈O, мы получим следующую картину октонионов: 1 e4 e3 e2 e5 e e6 e7 1 Заметим, что плоскости, проходящие через начало координат этого 3-мерного векторного пространства, дают подалгебры O, изоморфные кватернионам; линии, проходящие через начало координат, дают подалгебры, изоморфные комплексным числам, а само начало координат дает подалгебру, изоморфную действительным числам. Что в действительности мы имеем здесь – это описание октонионов как ""закрученной групповой алгебры"" (twisted group algebra).","Поскольку каждая такая линия содержит единственный ненулевой элемент, можно также думать о плоскости Фано, как состоящей из семи ненулевых элементов Z3 2. if начало координат в Z3 2 соответствует 1 ∈O, мы получим следующую картину октонионов: 1 e4 e3 e2 e5 e e6 e7 1 Заметим, что плоскости, проходящие через начало координат этого 3-мерного векторного пространства, дают подалгебры O, изоморфные кватернионам; линии, проходящие через начало координат, дают подалгебры, изоморфные комплексным числам, а само начало координат дает подалгебру, изоморфную действительным числам. Что в действительности мы имеем здесь – это описание октонионов как ""закрученной групповой algebras"" (twisted group algebra).","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0025 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; векторное_пространство; группа; изоморфизм,ISOMORPH,elibrary_13294250_28611886.txt
"Отображение K 7→[K] есть изоморфизм булевых алгебр B(E) и P(E). Если же в E фиксирована порядковая единица , то отображения π 7→π из P(E) в E(E) и e 7→{e}⊥⊥из E(E) в B(E) также являются изоморфизмами булевых алгебр. Ввиду этого утверждения каждую из булевых алгебр E(E) и P(E) также принято называть базой E.","Отображение K 7→[K] есть isomorphism булевых алгебр B(E) и P(E). if же в E фиксирована порядковая единица , then отображения π 7→π из P(E) в E(E) и e 7→{e}⊥⊥из E(E) в B(E) также являются изоморфизмами булевых алгебр. Ввиду этого утверждения каждую из булевых алгебр E(E) и P(E) также принято называть базой E.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0026 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_17311557_92603127.txt
"Такеути, см. [57], а также библиографию в [23]. Понятно, что R↓изоморфно C∞(Q) или Bor(Q), если B — булева алгебра открыто замкнутых множество или же булева алгебре борелевских подмножеств Q по модулю множеств первой категории соответственно (см. Объект R↓для общих булевых алгебр рассмотрел также Т.","Такеути, см. [57], а также библиографию в [23]. Понятно, что R↓is isomorphic C∞(Q) или Bor(Q), if B — булева algebra открыто замкнутых множество или же булева алгебре борелевских подмножеств Q по модулю множеств первой категории соответственно (см. Объект R↓для общих булевых алгебр рассмотрел также Т.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0027 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм; модуль,ISOMORPH,elibrary_17311557_92603127.txt
"Таким образом, [[ · = · ]], [[ · ∈· ]] : X × X →B, причем употребляют более привычные обозначения [[ x = y ]]:= [[ = (x, y) ]], [[ x ∈y ]]:= [[ ∈(x, y) ]] (x, y ∈X). Можно показать (см. [23, теорема 6.1.11]), что если к определению B-системы добавить некоторые естественные требования (технического характера), то существует единственная (с точностью до изоморфизма) B-система X := (X, [[ · = · ]], [[ · ∈· ]]), в которой справедливы все аксиомы (а значит и все теоремы) теории множеств ZFC, т. е. такие, что X |= ZFC. Такую B-систему называют булевозначной моделью теории множеств и обозначают символом V(B) := (V(B), [[ · = · ]], [[ · ∈· ]]).","Таким образом, [[ · = · ]], [[ · ∈· ]] : X × X →B, причем употребляют более привычные обозначения [[ x = y ]]:= [[ = (x, y) ]], [[ x ∈y ]]:= [[ ∈(x, y) ]] (x, y ∈X). Можно показать (см. [23, Theorem 6.1.11]), что if к определению B-системы добавить некоторые естественные требования (технического характера), then there exists единственная (с точностью до изоморфизма) B-система X := (X, [[ · = · ]], [[ · ∈· ]]), в которой справедливы все аксиомы (а значит и все теоремы) теории множеств ZFC, т. е. такие, что X |= ZFC. Такую B-систему называют булевозначной моделью теории множеств и обозначают символом V(B) := (V(B), [[ · = · ]], [[ · ∈· ]]).","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0028 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_17311557_92603127.txt
"Обозначим через LA обогащение языка L новыми константными символами {ca | a ∈A}. Мы называем алгебраическую систему C языка LA A-системой, если подсистема в C, состоящая из выбранных элементов для констант ca, a ∈A, канонически изоморфна A. Пусть A и C — алгебраические системы языка L, причем A н¨етерова по уравнениям, а C — конечно порожденная Aсистема.","Обозначим через LA обогащение языка L новыми константными символами {ca | a ∈A}. Мы называем алгебраическую систему C языка LA A-системой, if подсистема в C, состоящая из выбранных элементов для констант ca, a ∈A, канонически is isomorphic A. Пусть A и C — алгебраические системы языка L, причем A н¨етерова по уравнениям, а C — конечно порожденная Aсистема.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0029 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_19080842_19452035.txt
"Нетрудно проверить, что группа G изоморфна подгруппе UT3(Q[t]), порожденной четырьмя матрицами: A =   1 1 0 0 1 0 0 0 1  , B =   1 t 0 0 1 0 0 0 1  , C =   1 0 0 0 1 1 0 0 1  , D =   1 0 0 0 1 t 0 0 1  , при отображении x →A, y →B, z →C, t →D. В силу единственности расширения централизатора (предложение 3) если G есть подгруппа итерированного расширения централизаторов для группы FQ(2), то существует цепочка из двух расширений FQ(2) для элементов x и z и G изоморфна группе H0 = ⟨FQ(2) | [x, s1] = 1, [z, s2] = 1⟩. Но это не так, ибо dimQ(G′) = 3, а dimQ(H′ 0) = 4.","Нетрудно проверить, что group G is isomorphic подгруппе UT3(Q[t]), порожденной четырьмя матрицами: A =   1 1 0 0 1 0 0 0 1  , B =   1 t 0 0 1 0 0 0 1  , C =   1 0 0 0 1 1 0 0 1  , D =   1 0 0 0 1 t 0 0 1  , при отображении x →A, y →B, z →C, t →D. В силу единственности расширения централизатора (Proposition 3) if G есть subgroup итерированного расширения централизаторов для groups FQ(2), then there exists цепочка из двух расширений FQ(2) для элементов x и z и G is isomorphic group H0 = ⟨FQ(2) | [x, s1] = 1, [z, s2] = 1⟩. Но это не так, ибо dimQ(G′) = 3, а dimQ(H′ 0) = 4.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0030 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",группа; изоморфизм; подгруппа,ISOMORPH,elibrary_19080842_19452035.txt
"Значит, Λ1 ⊗b1 ⊆I, что в силу произвольности b1 влечёт I = Λ(A). Известно, что C(Λ ⊗A) изоморфен Λ, [20, лемма 4.2]. При этом C(Λ(A)) вкладывается в C(Λ ⊗A), т. к. Λ ⊗A = (Λ ⊗1)Λ(A), тогда C(Λ(A)) = Λ0.","Значит, Λ1 ⊗b1 ⊆I, что в силу произвольности b1 влечёт I = Λ(A). Известно, что C(Λ ⊗A) изоморфен Λ, [20, Lemma 4.2]. При этом C(Λ(A)) вкладывается в C(Λ ⊗A), т. к. Λ ⊗A = (Λ ⊗1)Λ(A), тогда C(Λ(A)) = Λ0.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0031 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм,ISOMORPH,elibrary_20655097_41678750.txt
"Предположим, что Λ(B(f)) — свободный Z(Λ(B(f)))-модуль. Поскольку dim B(f) = 2m и Λ1 — модуль ранга 1, то Λ(B(f)) ∼= Λ2m 0 — изоморфизм Λ0-модулей. Следовательно, Λ2m 0 ∼= Λ(B(f)) ∼= Λ0 ⊕Λ1 ⊗B1 ∼= Λ0 ⊕Λ2(m−1) 0 ⊕Λ1 ∼= Λ2m−1 0 ⊕Λ1.","Предположим, что Λ(B(f)) — свободный Z(Λ(B(f)))-module. Поскольку dim B(f) = 2m и Λ1 — module ранга 1, then Λ(B(f)) ∼= Λ2m 0 — isomorphism Λ0-модулей. Следовательно, Λ2m 0 ∼= Λ(B(f)) ∼= Λ0 ⊕Λ1 ⊗B1 ∼= Λ0 ⊕Λ2(m−1) 0 ⊕Λ1 ∼= Λ2m−1 0 ⊕Λ1.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0032 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм; модуль,ISOMORPH,elibrary_20655097_41678750.txt
"Напомним, что для произвольной алгебры A её ассоциативный центр N(A), коммутативный центр K(A), центр Z(A) и центроид C(A) определяются следующим образом: N(A) = {n ∈A | (n, a, b) = (a, n, b) = (a, b, n) = 0 для любых a, b ∈A}, K(A) = {k ∈A | ka = ak для любого a ∈A}, Z(A) = N(A) ∩K(A), C(A) = {φ : A 7→A | φ линейно и φ(ab) = φ(a)b = aφ(b) для всех a, b ∈A}, здесь (x, y, z) = (xy)z −x(yz) — ассоциатор от x, y, z. Хорошо известно: если A — алгебра с единицей, то Z(A) изоморфен C(A) (в ассоциативном случае это доказано в [19, гл. 2], однако, в упомянутом доказательстве ассоциативность не используется).","Напомним, что для произвольной algebras A её ассоциативный центр N(A), коммутативный центр K(A), центр Z(A) и центроид C(A) определяются следующим образом: N(A) = {n ∈A | (n, a, b) = (a, n, b) = (a, b, n) = 0 для любых a, b ∈A}, K(A) = {k ∈A | ka = ak for every a ∈A}, Z(A) = N(A) ∩K(A), C(A) = {φ : A 7→A | φ линейно и φ(ab) = φ(a)b = aφ(b) for all a, b ∈A}, здесь (x, y, z) = (xy)z −x(yz) — ассоциатор от x, y, z. Хорошо известно: if A — algebra с единицей, then Z(A) изоморфен C(A) (в ассоциативном случае это доказано в [19, гл. 2], однако, в упомянутом доказательстве ассоциативность не используется).","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0033 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_20655097_41678750.txt
"Ясно, что множество D = {D1 ⊗id, . . . , Dn ⊗id} состоит из дифференцирований Sph-оболочки алгебры A, где отображение Di ⊗id : Sph(A) 7→Sph(A) определяется правилом (Di ⊗id)  X k d(k) 0 ⊗a(k) 0 + X j d(j) 1 ⊗a(j) 1  = = X k Di(d(k) 0 ) ⊗a(k) 0 + X j Di(d(j) 1 ) ⊗a(j) 1 , здесь d(k) s ∈Sph(n)s, a(k) s ∈As, s ∈{0, 1}. Напомним, что для произвольной алгебры A её ассоциативный центр N(A), коммутативный центр K(A), центр Z(A) и центроид C(A) определяются следующим образом: N(A) = {n ∈A | (n, a, b) = (a, n, b) = (a, b, n) = 0 для любых a, b ∈A}, K(A) = {k ∈A | ka = ak для любого a ∈A}, Z(A) = N(A) ∩K(A), C(A) = {φ : A 7→A | φ линейно и φ(ab) = φ(a)b = aφ(b) для всех a, b ∈A}, здесь (x, y, z) = (xy)z −x(yz) — ассоциатор от x, y, z. Хорошо известно: если A — алгебра с единицей, то Z(A) изоморфен C(A) (в ассоциативном случае это доказано в [19, гл.","Ясно, что множество D = {D1 ⊗id, . . . , Dn ⊗id} состоит из дифференцирований Sph-оболочки algebras A, где отображение Di ⊗id : Sph(A) 7→Sph(A) определяется правилом (Di ⊗id)  X k d(k) 0 ⊗a(k) 0 + X j d(j) 1 ⊗a(j) 1  = = X k Di(d(k) 0 ) ⊗a(k) 0 + X j Di(d(j) 1 ) ⊗a(j) 1 , здесь d(k) s ∈Sph(n)s, a(k) s ∈As, s ∈{0, 1}. Напомним, что для произвольной algebras A её ассоциативный центр N(A), коммутативный центр K(A), центр Z(A) и центроид C(A) определяются следующим образом: N(A) = {n ∈A | (n, a, b) = (a, n, b) = (a, b, n) = 0 для любых a, b ∈A}, K(A) = {k ∈A | ka = ak for every a ∈A}, Z(A) = N(A) ∩K(A), C(A) = {φ : A 7→A | φ линейно и φ(ab) = φ(a)b = aφ(b) for all a, b ∈A}, здесь (x, y, z) = (xy)z −x(yz) — ассоциатор от x, y, z. Хорошо известно: if A — algebra с единицей, then Z(A) изоморфен C(A) (в ассоциативном случае это доказано в [19, гл.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0034 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм,ISOMORPH,elibrary_20655097_41678750.txt
"2014. №2 (iv) для любого плотного правого идеала J кольца R и для всякого гомоморфизма f : JR →RR найдется такой элемент q ∈Q(R), что f(x) = qx для любого x ∈J. Более того, условия (i)—(iv) задают кольцо Q(R) с точностью до изоморфизма [3, предложение 2.1.7]. Кольцо Q(R), удовлетворяющее условиям (i)—(iv), называется полным правым кольцом частных кольца R.","2014. №2 (iv) for every плотного правого идеала J rings R и для всякого гомоморфизма f : JR →RR найдется такой элемент q ∈Q(R), что f(x) = qx for every x ∈J. Более того, условия (i)—(iv) задают ring Q(R) с точностью до изоморфизма [3, Proposition 2.1.7]. ring Q(R), удовлетворяющее условиям (i)—(iv), is called полным правым кольцом частных rings R.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0035 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",гомоморфизм; идеал; изоморфизм; кольцо,ISOMORPH,elibrary_21653116_33290688.txt
"13 ВМУ, математика, механика, №2 26 вестн. моск. ун-та. сер.1, математика. механика. 2014. №2 (iv) для любого плотного правого идеала J кольца R и для всякого гомоморфизма f : JR →RR найдется такой элемент q ∈Q(R), что f(x) = qx для любого x ∈J. Более того, условия (i)—(iv) задают кольцо Q(R) с точностью до изоморфизма [3, предложение 2.1.7].","13 ВМУ, математика, механика, №2 26 вестн. моск. ун-та. сер.1, математика. механика. 2014. №2 (iv) for every плотного правого идеала J rings R и для всякого гомоморфизма f : JR →RR найдется такой элемент q ∈Q(R), что f(x) = qx for every x ∈J. Более того, условия (i)—(iv) задают ring Q(R) с точностью до изоморфизма [3, Proposition 2.1.7].","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0036 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",гомоморфизм; идеал; изоморфизм; кольцо,ISOMORPH,elibrary_21653116_33290688.txt
"Тогда End∗ Λ(VF ) изоморфна алгебре матриц F n×n с инволюцией, определённой по правилу A = (aij) 7→A∗, где A∗обозначает транспонированную матрицу от (a∗ ij). Семенова Элемент e ∗-кольца называется проекцией, если e = e2 = e∗. Отметим, что любая проекция совпадает со своим псевдообращением, а e = aa+ и f = a+a являются проекциями, если a+ является псевдообращением к a.","Тогда End∗ Λ(VF ) is isomorphic алгебре матриц F n×n с инволюцией, определённой по правилу A = (aij) 7→A∗, где A∗обозначает транспонированную матрицу от (a∗ ij). Семенова Элемент e ∗-rings is called проекцией, if e = e2 = e∗. Отметим, что любая проекция совпадает со своим псевдообращением, а e = aa+ и f = a+a являются проекциями, if a+ is псевдообращением к a.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0037 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; изоморфизм; кольцо,ISOMORPH,elibrary_22530727_92219979.txt
"Если A является дополнительно C∗- алгеброй, то она называется AW ∗-алгеброй (рикартовской C∗-алгеброй соответственно). Согласно [10, 14.22, 14.24] это определение AW ∗-алгебры эквивалентно определению, данному в [23]. Любая алгебра фон Ноймана является AW ∗-алгеброй.","if A is дополнительно C∗- алгеброй, then она is called AW ∗-алгеброй (рикартовской C∗-алгеброй соответственно). Согласно [10, 14.22, 14.24] это Definition AW ∗-algebras эквивалентно определению, данному в [23]. Любая algebra фон Ноймана is AW ∗-алгеброй.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0038 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра,ISOMORPH,elibrary_22530727_92219979.txt
"Теорема 28 даёт точное представление последней в некотором замкнутом подпространстве U ультрастепени ˆVˆC = V I C/U. (ii) Согласно теореме 16, Q(A) является гомоморфным образом подалгебры в ультрапроизведении Q k∈K End∗ Λ (Uk)ˆC /W, где dim Uk = nk < ω для всех k ∈K. Согласно предложениям 8 и 13(ii), алгебра эндоморфизмов End∗ Λ (Uk)ˆC изоморфна (Cnk×nk)I/U для любого k ∈K. Поскольку все перечисленные алгебраические конструкции сохраняют псевдообраще- 500 К.","Theorem 28 даёт точное представление последней в некотором замкнутом подпространстве U ультрастепени ˆVˆC = V I C/U. (ii) Согласно теореме 16, Q(A) is гомоморфным образом подалгебры в ультрапроизведении Q k∈K End∗ Λ (Uk)ˆC /W, где dim Uk = nk < ω for all k ∈K. Согласно предложениям 8 и 13(ii), algebra эндоморфизмов End∗ Λ (Uk)ˆC is isomorphic (Cnk×nk)I/U for every k ∈K. Поскольку все перечисленные алгебраические конструкции сохраняют псевдообраще- 500 К.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0039 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; гомоморфизм; изоморфизм,ISOMORPH,elibrary_22530727_92219979.txt
"В этом случае левый аннигилятор множества X также порождается проекцией. Если A является дополнительно C∗- алгеброй, то она называется AW ∗-алгеброй (рикартовской C∗-алгеброй соответственно). Согласно [10, 14.22, 14.24] это определение AW ∗-алгебры эквивалентно определению, данному в [23].","В этом случае левый аннигилятор множества X также порождается проекцией. if A is дополнительно C∗- алгеброй, then она is called AW ∗-алгеброй (рикартовской C∗-алгеброй соответственно). Согласно [10, 14.22, 14.24] это Definition AW ∗-algebras эквивалентно определению, данному в [23].","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0040 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра,ISOMORPH,elibrary_22530727_92219979.txt
"Согласно следствию 45, Q(A) ∼= R/≈D для некоторой алгебры обобщённых операторов (RVC; D). Теорема 28 даёт точное представление последней в некотором замкнутом подпространстве U ультрастепени ˆVˆC = V I C/U. (ii) Согласно теореме 16, Q(A) является гомоморфным образом подалгебры в ультрапроизведении Q k∈K End∗ Λ (Uk)ˆC /W, где dim Uk = nk < ω для всех k ∈K. Согласно предложениям 8 и 13(ii), алгебра эндоморфизмов End∗ Λ (Uk)ˆC изоморфна (Cnk×nk)I/U для любого k ∈K.","Согласно следствию 45, Q(A) ∼= R/≈D для некоторой algebras обобщённых операторов (RVC; D). Theorem 28 даёт точное представление последней в некотором замкнутом подпространстве U ультрастепени ˆVˆC = V I C/U. (ii) Согласно теореме 16, Q(A) is гомоморфным образом подалгебры в ультрапроизведении Q k∈K End∗ Λ (Uk)ˆC /W, где dim Uk = nk < ω for all k ∈K. Согласно предложениям 8 и 13(ii), algebra эндоморфизмов End∗ Λ (Uk)ˆC is isomorphic (Cnk×nk)I/U for every k ∈K.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0041 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",алгебра; гомоморфизм; изоморфизм,ISOMORPH,elibrary_22530727_92219979.txt
"Первое утверждение теперь следует из того, что все gr-инъективные оболочки модуля X изоморфны. Структура gr-инъективных модулей Определение 22. Пусть R — градуированное кольцо, X — левый Re-модуль.","Первое утверждение теперь следует из того, что все gr-инъективные оболочки module X are isomorphic. Структура gr-инъективных модулей Definition 22. Пусть R — градуированное ring, X — левый Re-module.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0042 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм; кольцо; модуль,ISOMORPH,elibrary_23616763_32002541.txt
"Таким образом, для полупервичных правых колец Голди R справедливо также равенство Qcl(R) = Q(R). Существует и другой подход, при котором сразу исследуются максимальные правые кольца частных. Сначала укажем эквивалентную характеризацию полупервичных правых колец Голди.","Таким образом, для полупервичных правых колец Голди R справедливо также равенство Qcl(R) = Q(R). there exists и другой подход, при котором сразу исследуются максимальные правые rings частных. Сначала укажем эквивалентную характеризацию полупервичных правых колец Голди.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0043 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",кольцо,ISOMORPH,elibrary_23616763_32002541.txt
"Тогда f(Y ) = 0, и по лемме 7 Y — gr-рациональное расширение X. Первое утверждение теперь следует из того, что все gr-инъективные оболочки модуля X изоморфны. Структура gr-инъективных модулей Определение 22.","Тогда f(Y ) = 0, и по лемме 7 Y — gr-рациональное расширение X. Первое утверждение теперь следует из того, что все gr-инъективные оболочки module X are isomorphic. Структура gr-инъективных модулей Definition 22.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0044 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",изоморфизм; модуль,ISOMORPH,elibrary_23616763_32002541.txt
"Другими словами, градуированный R-модуль gr-инъективен, если он инъективен как объект категории gr.mod-R. Ясно, что если в определении 19 все гомоморфизмы считать сдвигающими градуировку, то получится эквивалентное определение. Градуированный R-модуль XR gr-инъективен тогда и только тогда, когда функтор HOMR(−, X) точен.","Другими словами, градуированный R-module gr-инъективен, if он инъективен как объект категории gr.mod-R. Ясно, что if в определении 19 все гомоморфизмы считать сдвигающими градуировку, then получится эквивалентное Definition. Градуированный R-module XR gr-инъективен тогда и только тогда, когда функтор HOMR(−, X) точен.","∀ A B, A ≅ B ↔ ∃ f : A → B, Isomorphism(f)","import Mathlib

theorem dataset_item_0045 {G H : Type*} [Group G] [Group H] :
    Nonempty (G ≃* H) → Nonempty (H ≃* G) := by
  intro h
  rcases h with ⟨e⟩
  exact ⟨e.symm⟩",гомоморфизм,ISOMORPH,elibrary_23616763_32002541.txt
